News Title,News Date
Indofarma (INAF) Sediakan Layanan Bergerak RT-PCR Covid-19 ,20 Juli 2020 22:42 WIB
Bisnis Alkes Bakal Topang Kinerja Indofarma (INAF),20 Juli 2020 17:49 WIB
Indofarma (INAF) Bakal Distribusikan Vaksin Covid-19,20 Juli 2020 16:38 WIB
PROYEKSI KINERJA EMITEN : INAF Bidik Profit,09 Juli 2020 02:00 WIB
"Penjualan Alkes Melonjak, Indofarma (INAF) Optimistis Mampu Cetak Laba",08 Juli 2020 13:15 WIB
"3 Tahun Menderita Rugi, Indofarma (INAF) Akhirnya Meraup Laba",08 Juli 2020 12:04 WIB
Tiga Emiten Farmasi Kompak Tambah Lini Produk,05 Juli 2020 16:03 WIB
"Direksi Indofarma (INAF) Beberkan Alasan Rugi Kuartal I, Lebih Optimis Semester II",04 Mei 2020 17:59 WIB
"Kinerja Kuartal I/2020 : Indofarma (INAF) Rugi Rp21,24 Miliar",04 Mei 2020 03:23 WIB
"BUMN Produksi Ventilator, 70 Persen Bahan Baku di Dalam Negeri",27 April 2020 08:49 WIB
"Beri Sinyal Soal Laba, Saham Indofarma (INAF) Melonjak 7,69 Persen",22 April 2020 12:34 WIB
KINERJA EMITEN FARMASI : INAF Bisa Kembali Profit,22 April 2020 02:00 WIB
Geliat Indofarma (INAF) Produksi Alat Kesehatan dari Dalam Negeri,21 April 2020 19:17 WIB
"Restrukturisasi Utang, Indofarma Hemat Beban Bunga Rp30 Miliar",21 April 2020 16:00 WIB
"Setelah Tiga Tahun Beruntun Rugi, Indofarma (INAF) Pede Cetak Profit",21 April 2020 15:11 WIB
Pemerintah Dorong BUMN Bantu Produksi Ventilator Lokal,16 April 2020 21:14 WIB
PROSPEK SEKTORAL : Emiten Farmasi Masih Seksi,15 April 2020 02:00 WIB
Saham Dua Emiten Farmasi Kebal Koreksi,14 April 2020 19:31 WIB
Saham BUMN Farmasi Pimpin Lonjakan Indeks Sektor Konsumer,26 Maret 2020 13:26 WIB
"Kebutuhan APD Tinggi, Indofarma Ikutan Produksi",26 Maret 2020 12:56 WIB
"KABAR EMITEN: Proyek RUIS & TGRA Terganjal, Jurus Melawan Bear Market",23 Maret 2020 07:01 WIB
WABAH COVID-19: Geliat Borong Alat Kesehatan ala Indofarma,23 Maret 2020 02:00 WIB
"Permintaan Tinggi, Indofarma (INAF) Importasi 100.000 Paket Rapid Test Virus Corona",22 Maret 2020 14:57 WIB
Pembuatan Rapid Test Corona Butuh Waktu Sebulan,19 Maret 2020 18:02 WIB
"Pekan Depan, Indofarma Datangkan 100.000 Rapid Test Corona",19 Maret 2020 16:21 WIB
Dua Produsen Farmasi Ini Pastikan Operasional Pabrik Normal,17 Maret 2020 18:33 WIB
"Permintaan Alkes Naik, Indofarma (INAF) Pastikan Pasokan Terjamin",16 Maret 2020 08:10 WIB
"Jelang Sesi I Berakhir, Saham Emiten Farmasi Berjaya",04 Maret 2020 11:09 WIB
"Meski Naik Signifikan, KAEF dan INAF Tak Lantas Jadi Favorit",02 Maret 2020 16:38 WIB
Indofarma dan Mylan Luncurkan Obat Kanker Payudara di Indonesia,18 Februari 2020 17:39 WIB
EDITORIAL : Babak Baru Holding BUMN Farmasi,07 Februari 2020 02:00 WIB
Indofarma Ingin Utilisasi Pabrik Herbal Maksimal,06 Februari 2020 14:13 WIB
Indofarma (INAF) Kembangkan Kawasan Industri Khusus Alkes di Cibitung,06 Februari 2020 09:28 WIB
PEMBENTUKAN HOLDING PELAT MERAH : BUMN Farmasi Tekan Impor,06 Februari 2020 02:00 WIB
"Ada Holding BUMN Farmasi, Ini Harapan Indofarma (INAF)",05 Februari 2020 22:23 WIB
"Indofarma (INAF) Jual Aset Kantor dan Gudang Rp42,5 Miliar",31 Desember 2019 17:13 WIB
"Kejar Laba, Indofarma (INAF) Pacu Segmen Reguler",04 November 2019 18:21 WIB
Kinerja Emiten BUMN Tertekan Kondisi Makro,04 November 2019 04:38 WIB
Laba Anak Holding BUMN Farmasi Masih Tertekan Hingga Kuartal Ketiga,03 November 2019 15:46 WIB
KMK PENGALIHAN SAHAM PEMERINTAH : Holding BUMN Farmasi Siap Tancap Gas,25 Oktober 2019 02:00 WIB
KAEF dan INAF Resmi Masuk Holding BUMN Farmasi,20 Oktober 2019 14:31 WIB
"Melesat Lebih dari 600 Persen dalam 5 Tahun, Kinerja Saham INAF Dinilai Irasional",16 Oktober 2019 11:13 WIB
"Ranitidin Ditarik, Begini Komentar Ketua Yayasan Kanker",09 Oktober 2019 00:59 WIB
"Obat Maag Ranitidin Ditarik, Ini Kata Indofarma (INAF)",08 Oktober 2019 08:13 WIB
PENARIKAN RANIDITIN : PEHA & INAF Pede Kinerja Penjualan Aman,08 Oktober 2019 02:00 WIB
"JV Ditunda, Indofarma (INAF) Hanya Akan Serap Capex 15 Persen",19 September 2019 04:00 WIB
EMITEN FARMASI PELAT MERAHn : Berharap Holding Jadi Sentimen Positifn,04 September 2019 02:00 WIB
"Antam, Jasindo, dan Indofarma Sumbangkan Hasil Pasar Murah ke Sarana Ibadah",29 Agustus 2019 13:46 WIB
Kementerian BUMN: RUPSLB Kimia Farma (KAEF) dan Indofarma (INAF) Bahas Holding Farmasi,29 Agustus 2019 07:20 WIB
"Indofarma (INAF) Gelar RUPSLB, Persiapan Holding BUMN Farmasi?",28 Agustus 2019 16:40 WIB
Dua Emiten Farmasi BUMN Umumkan Rencana RUPSLB. Apa Agendanya?,27 Agustus 2019 17:04 WIB
"KINERJA EMITEN : Semester I/2019, Indofarma (INAF) Catatkan Rugi Rp24,35 Miliar",31 Juli 2019 12:15 WIB
"DIREKTUR UTAMA PT INDOFARMA (PERSERO) TBK., ARIEF PRAMUHANTO : “Kami harus Buat Sejarah”",12 Juli 2019 13:29 WIB
Indofarma (INAF) Akan Luncurkan Obat Kanker pada Tahun Depan,12 Juli 2019 07:19 WIB
STRATEGI USAHA : INAF Mulai Sasar Pasar Reguler,12 Juli 2019 02:00 WIB
"DIREKTUR UTAMA PT INDOFARMA (PERSERO) TBK., ARIEF PRAMUHANTO : “Strategi Bagus Tanpa Eksekusi, Percuma”",08 Juli 2019 02:00 WIB
KIAT MANAJEMEN : Menimba Ilmu Baru dari Balik Meja Meeting,08 Juli 2019 02:00 WIB
GP Farmasi : Rendah Investasi Bukan Lantaran Permenkes 1010,03 Juli 2019 15:40 WIB
STRATEGI KORPORASI : Indofarma Perbaiki Portofolio,08 Mei 2019 02:00 WIB
"Kejar Laba, Indofarma (INAF) Perbaiki Portofolio",07 Mei 2019 15:40 WIB
Indofarma (INAF) Tunjuk Dirut Baru,07 Mei 2019 14:09 WIB
INDUSTRI KEMASAN : Industri Kemasan Obat Digenjot,25 April 2019 02:00 WIB
"5 Terpopuler Market, 4 Surat Utang yang Jatuh Tempo Pekan Ini dan Rekonsiliasi AISA Demi Selesaikan Kegaduhan",08 April 2019 11:56 WIB
Menilik Peluang Indofarma (INAF) & Krakatau Steel (KRAS) Cetak Untung,08 April 2019 10:27 WIB
"AKSI EMITEN 8 APRIL: Emiten Pelayaran Menerjang Ombak, Ambisi INAF & KRAS Mencetak Untung",08 April 2019 08:25 WIB
PROSPEK EMITEN : Ambisi INAF & KRAS Mencetak Untung,08 April 2019 02:00 WIB
Indofarma (INAF) Incar Laba Rp8 Miliar Selama 2019,05 April 2019 20:03 WIB
"KINERJA 2018 : Rugi Indofarma (INAF) Menyusut Jadi Rp32,74 Miliar",02 April 2019 09:21 WIB
"Pengembangan Alat Kesehatan, Indofarma (INAF) Gandeng Boseong",23 Januari 2019 20:32 WIB
Indofarma Tunjuk Fors Fortis Medika Distributor Tunggal Alat Kesehatan,19 Januari 2019 20:18 WIB
Pengusaha Farmasi Minta Alokasi Pembayaran Khusus dalam Sistem Jaminan Kesehatan Nasional,19 Januari 2019 14:16 WIB
"Ini Proyeksi Analis untuk GIAA, KRAS, dan INAF",16 Januari 2019 14:25 WIB
"KINERJA BUMN : GIAA, KRAS, dan INAF Yakin Cetak Untung",16 Januari 2019 02:00 WIB
Kimia Farma dan Indofarma Diminta Ikut Lelang Obat AIDS,11 Januari 2019 03:08 WIB
"AKSI EMITEN 27 DESEMBER: PEHA dan INAF Semakin Agresif, TINS Kerek Capex 28%",27 Desember 2018 09:17 WIB
ekspansi emiten farmasi 2019 : PEHA & INAF Semakin Agresif,27 Desember 2018 02:00 WIB
Indofarma & Perusahaan Korsel Bentuk Patungan Senilai Rp200 Miliar,26 Desember 2018 16:19 WIB
INAF Incar Penjualan Hingga 15% Tahun Depan,26 Desember 2018 14:24 WIB
"Semester I/2018, Indofarma (INAF) Kembali Catat Untung",31 Juli 2018 08:53 WIB
STRATEGI KORPORASI : INAF Serius Meracik Untung,23 Juli 2018 02:00 WIB
"Indofarma (INAF) Ganti Logo Perusahaan, Ini Alasannya",22 Juli 2018 20:58 WIB
"Kuartal I/2018, Indofarma (INAF) Tekan Kerugian 75%",22 Juli 2018 20:51 WIB
EMITEN FARMASI : INAF Pacu Produk Bermargin Tebal,20 Juli 2018 02:00 WIB
"INKP & TRAM Masuk MSCI, Pasar Langsung Merespons",15 Mei 2018 15:34 WIB
"KINERJA 2017: Rugi Indofarma (INAF) Membengkak 166,58%",28 Maret 2018 15:00 WIB
"Asabri Genggam 7,054% Saham Indofarma (INAF)",04 Januari 2018 17:05 WIB
BELANJA MODAL 2018 : INAF Alokasikan Rp165 Miliar,27 Desember 2017 02:00 WIB
"AKSI EMITEN 20 DESEMBER: INAF Yakin Raup Untung, Bumi Minerals Siap Investasi US$424 Juta",20 Desember 2017 09:23 WIB
KINERJA KEUANGAN 2018 : INAF Yakin Raup Untung,20 Desember 2017 02:00 WIB
STRATEGI EMITEN : Saat INAF Bertransformasi,28 November 2017 02:00 WIB
PT Indofarma Lakukan Pembenahan Bisnis,26 November 2017 17:45 WIB
"PENGEMBANGAN USAHA : 2018, INAF Incar Dana Segar Rp100 Miliar",07 November 2017 02:00 WIB
BAHAN BAKU OBAT: Kemenperin Bentuk Tim Kaji TKDN,22 Mei 2017 02:00 WIB
Pendapatan Indofarma Tumbuh Tipis,18 Mei 2017 03:11 WIB
KINERJA KUARTAL I : INAF Masih Dibelit Kerugian,18 Mei 2017 02:00 WIB
Indofarma Masih Dibelit Kerugian,17 Mei 2017 20:16 WIB
"2017, Indofarma (INAF) Anggarkan Belanja Modal Rp68 Miliar",20 April 2017 14:23 WIB
Rusdi Rosman Ditunjuk Jadi Dirut Indofarma (INAF),20 April 2017 14:08 WIB
3 BUMN Gelar RUPS Tahunan Hari Ini (20/4/2017),20 April 2017 07:56 WIB
"2017, Indofarma (INAF) Incar Laba Rp15 Miliar",06 April 2017 06:15 WIB
