DATE_PERIOD,NPD_WELL_BORE_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,BORE_OIL_VOL
2008-08-11,15/9-F-12,24.0,258.116,106.165,175.493,12.251,49.69052,82.623,78.565,4412.0
2008-08-12,15/9-F-12,24.0,256.949,106.174,175.48,12.585,49.43067,81.469,80.061,4418.0
2008-08-13,15/9-F-12,24.0,256.478,106.172,175.228,12.377,50.24218,81.25,80.079,4449.0
2008-08-14,15/9-F-12,24.0,256.923,106.159,174.97,11.902,49.35612,81.954,80.044,4354.0
2008-08-15,15/9-F-12,24.0,254.87,106.183,175.028,12.367,51.23093,79.843,80.526,4499.0
2008-08-16,15/9-F-12,24.0,250.173,106.245,177.045,12.736,57.23161,73.128,80.937,5479.0
2008-08-17,15/9-F-12,24.0,249.005,106.255,176.359,12.537,57.28408,72.646,80.305,5444.0
2008-08-18,15/9-F-12,24.0,247.947,106.252,175.502,12.325,56.92553,72.445,79.888,5374.0
2008-08-19,15/9-F-12,24.0,247.15,106.252,175.016,12.165,56.70427,72.134,80.284,5315.0
2008-08-20,15/9-F-12,24.0,246.261,106.253,174.788,12.12,56.72041,71.474,81.279,4981.0
2008-08-21,15/9-F-12,24.0,248.76,106.212,173.022,11.514,52.22903,75.738,80.184,4450.0
2008-08-22,15/9-F-12,24.0,262.708,105.985,168.541,7.379,34.9762,94.166,73.216,2050.0
2008-08-23,15/9-F-12,24.0,264.053,105.972,168.997,7.146,34.90242,95.056,72.898,2059.0
2008-08-24,15/9-F-12,24.0,265.068,105.974,169.183,7.516,34.9779,95.885,70.991,2080.0
2008-08-25,15/9-F-12,24.0,266.074,105.982,169.561,12.467,34.97059,96.513,70.819,2090.0
2008-08-26,15/9-F-12,24.0,267.071,105.997,170.104,12.684,34.93069,96.966,72.574,2093.0
